iter	Passed	Remaining
0	7	1486
1	15	1573
2	22	1469
3	37	1852
4	54	2116
5	80	2603
6	96	2654
7	129	3113
8	136	2905
9	144	2754
10	151	2605
11	160	2514
12	178	2565
13	184	2445
14	190	2350
15	196	2262
16	205	2207
17	212	2150
18	218	2084
19	224	2017
20	229	1954
21	234	1896
22	240	1847
23	244	1795
24	250	1751
25	255	1710
26	260	1671
27	266	1634
28	271	1599
29	276	1566
30	281	1534
31	286	1505
32	291	1475
33	297	1450
34	302	1423
35	306	1398
36	312	1375
37	317	1355
38	323	1335
39	328	1314
40	333	1294
41	338	1275
42	344	1256
43	350	1243
44	355	1225
45	360	1207
46	366	1191
47	371	1175
48	380	1171
49	386	1160
50	398	1165
51	406	1158
52	415	1153
53	421	1139
54	428	1129
55	434	1117
56	440	1104
57	446	1092
58	451	1078
59	456	1064
60	461	1052
61	463	1032
62	468	1018
63	473	1005
64	475	986
65	479	974
66	484	961
67	489	950
68	494	939
69	499	927
70	504	916
71	509	906
72	514	895
73	519	884
74	524	874
75	529	864
76	534	853
77	539	843
78	544	833
79	549	823
80	553	813
81	558	804
82	563	794
83	568	784
84	573	776
85	578	767
86	583	757
87	588	748
88	593	739
89	597	730
90	603	722
91	607	713
92	612	704
93	618	697
94	623	689
95	629	681
96	634	674
97	639	666
98	645	658
99	650	650
100	655	642
101	660	634
102	664	626
103	670	618
104	675	611
105	680	603
106	685	595
107	690	588
108	695	580
109	700	573
110	705	565
111	710	558
112	715	551
113	720	543
114	725	536
115	731	529
116	735	521
117	740	514
118	745	507
119	751	500
120	756	493
121	761	486
122	766	479
123	771	472
124	776	465
125	781	458
126	786	451
127	790	444
128	796	438
129	801	431
130	805	424
131	811	417
132	813	409
133	818	403
134	861	414
135	866	407
136	871	400
137	877	394
138	882	387
139	887	380
140	893	373
141	898	366
142	903	359
143	908	353
144	913	346
145	918	339
146	922	332
147	927	325
148	932	319
149	937	312
150	943	306
151	947	299
152	952	292
153	958	286
154	963	279
155	968	273
156	973	266
157	978	260
158	983	253
159	989	247
160	994	240
161	998	234
162	1004	227
163	1009	221
164	1013	215
165	1019	208
166	1024	202
167	1029	196
168	1034	189
169	1051	185
170	1056	179
171	1062	172
172	1069	166
173	1074	160
174	1079	154
175	1084	147
176	1089	141
177	1094	135
178	1099	129
179	1104	122
180	1109	116
181	1115	110
182	1120	104
183	1125	97
184	1130	91
185	1135	85
186	1140	79
187	1146	73
188	1151	67
189	1156	60
190	1161	54
191	1166	48
192	1170	42
193	1175	36
194	1180	30
195	1185	24
196	1190	18
197	1195	12
198	1200	6
199	1205	0
